Encoder,Input_angle,Window,Throttle_input,Motor_output
250.8,0,0-0,1493,1493
49.2,0,0-0,1493,1493
194.9,0,0-0,1493,1493
27,0,0-0,1493,1493
142.3,0,0-0,1493,1493
286.1,0,0-0,1493,1493
108.9,0,0-0,1493,1493
261.6,0,0-0,1493,1493
42.5,0,0-0,1493,1493
234.3,0,0-0,1493,1493
22.6,0,0-0,1493,1493
169.8,0,0-0,1493,1493
0.2,0,0-0,1493,1493
142.3,0,0-0,1493,1493
273.6,0,0-0,1493,1493
92.8,0,0-0,1493,1493
242.1,0,0-0,1493,1493
29.4,0,0-0,1493,1493
226,0,0-0,1493,1493
9,0,0-0,1493,1493
158,0,0-0,1493,1493
352.8,0,0-0,1493,1493
144.2,0,0-0,1493,1493
291.6,0,0-0,1493,1493
114.9,0,0-0,1493,1493
266.5,0,0-0,1493,1493
55.4,0,0-0,1493,1493
254.9,0,0-0,1493,1493
45.3,0,0-0,1493,1493
187.8,0,0-0,1493,1493
18.9,0,0-0,1493,1493
147.1,0,0-0,1493,1493
302.7,0,0-0,1493,1493
106.6,0,0-0,1493,1493
270.6,0,0-0,1493,1493
94.9,0,0-0,1493,1493
245.7,0,0-0,1493,1493
39.6,0,0-0,1493,1493
236.2,0,0-0,1493,1493
27.9,0,0-0,1493,1493
161.1,0,0-0,1493,1493
6.2,0,0-0,1493,1493
153.4,0,0-0,1493,1493
306.3,0,0-0,1493,1493
145.2,0,0-0,1493,1493
297.9,0,0-0,1493,1493
81.5,0,0-0,1493,1493
276.1,0,0-0,1493,1493
70.9,0,0-0,1493,1493
215.7,0,0-0,1493,1493
46,0,0-0,1493,1493
191.9,0,0-0,1493,1493
349.9,0,0-0,1493,1493
170.7,0,0-0,1493,1493
321.9,0,0-0,1493,1493
96.6,0,0-0,1493,1493
288.2,0,0-0,1493,1493
81.9,0,0-0,1493,1493
214.5,90,0-180,1493,1493
147.8,90,0-180,1493,1100
22.8,90,0-180,1493,1100
199.3,90,0-180,1493,1493
186.5,90,0-180,1493,1493
294.8,90,0-180,1493,1493
122.4,90,0-180,1493,1100
321.7,90,0-180,1493,1493
163.7,90,0-180,1493,1100
215.2,90,0-180,1493,1493
31.2,90,0-180,1493,1100
212.4,90,0-180,1493,1493
177,90,0-180,1493,1100
313.2,90,0-180,1493,1493
131,90,0-180,1493,1100
331.1,90,0-180,1493,1493
186.5,90,0-180,1493,1493
155.7,90,0-180,1493,1100
351.9,90,0-180,1493,1493
167.3,90,0-180,1493,1100
278.3,90,0-180,1493,1493
248.2,90,0-180,1493,1493
191.5,90,0-180,1493,1493
308.6,90,0-180,1493,1493
162.8,90,0-180,1493,1100
327.4,90,0-180,1493,1493
184.9,90,0-180,1493,1493
242.5,90,0-180,1493,1493
271.1,90,0-180,1493,1493
131,90,0-180,1493,1100
331.1,90,0-180,1493,1493
193.4,90,0-180,1493,1493
333.8,90,0-180,1493,1493
230.9,90,0-180,1493,1493
240.8,90,0-180,1493,1493
275.9,90,0-180,1493,1493
182.1,90,0-180,1493,1493
335.2,90,0-180,1493,1493
158.7,90,0-180,1493,1100
311.4,90,0-180,1493,1493
260.5,90,0-180,1493,1493
226,90,0-180,1493,1493
331.9,90,0-180,1493,1493
148.7,90,0-180,1493,1100
349.5,90,0-180,1493,1493
315.3,90,0-180,1493,1493
172,90,0-180,1493,1100
0.5,90,0-180,1493,1100
186.3,90,0-180,1493,1493
309.2,90,0-180,1493,1493
292.2,90,0-180,1493,1493
190.2,90,0-180,1493,1493
293.4,90,0-180,1493,1493
201.3,90,0-180,1493,1493
1,90,0-180,1493,1100
177.3,88.7,359-179,1493,1100
339.3,85,355-175,1493,1493
272.2,88.8,359-179,1493,1493
191.5,90,0-180,1493,1493
341.5,90,0-180,1493,1493
174.5,90,0-180,1493,1100
350.7,90,0-180,1493,1493
237.6,90,0-180,1493,1493
146.7,0,0-0,1493,1493
290.8,0,0-0,1493,1493
112.3,0,0-0,1493,1493
264.4,0,0-0,1493,1493
62.9,0,0-0,1493,1493
248.7,0,0-0,1493,1493
30.8,0,0-0,1493,1493
184.6,0,0-0,1493,1493
15.1,0,0-0,1493,1493
169.3,0,0-0,1493,1493
14.6,0,0-0,1493,1493
148.2,0,0-0,1493,1493
289.8,0,0-0,1493,1493
129.7,0,0-0,1493,1493
289,0,0-0,1493,1493
85.1,0,0-0,1493,1493
275.4,0,0-0,1493,1493
65.1,0,0-0,1493,1493
226.9,0,0-0,1493,1493
48.1,0,0-0,1492,1492
196.6,0,0-0,1493,1493
344.3,0,0-0,1493,1493
185.2,0,0-0,1493,1493
343.7,0,0-0,1493,1493
135.4,0,0-0,1493,1493
332.7,0,0-0,1493,1493
115.3,0,0-0,1493,1493
275.9,0,0-0,1493,1493
114.5,0,0-0,1493,1493
250.7,0,0-0,1493,1493
36.8,0,0-0,1493,1493
238,0,0-0,1493,1493
18.6,0,0-0,1493,1493
158.6,0,0-0,1493,1493
358.9,0,0-0,1493,1493
141.9,0,0-0,1493,1493
302.9,0,0-0,1493,1493
123.2,0,0-0,1493,1493
271.3,0,0-0,1493,1493
70,0,0-0,1493,1493
269.6,0,0-0,1493,1493
54.1,0,0-0,1493,1493
241.6,0,0-0,1493,1493
35.9,90,0-180,1493,1100
231.7,90,0-180,1493,1493
76.6,90,0-180,1493,1100
296.2,90,0-180,1493,1493
295.5,90,0-180,1493,1493
6.6,90,0-180,1493,1100
256.2,90,0-180,1493,1493
33.7,90,0-180,1493,1100
265.3,90,0-180,1493,1493
1.8,90,0-180,1493,1100
309.6,90,0-180,1493,1493
278.9,90,0-180,1493,1493
34.3,90,0-180,1493,1100
220.5,90,0-180,1493,1493
52.6,90,0-180,1493,1100
303.7,90,0-180,1493,1493
296.3,90,0-180,1493,1493
8.4,90,0-180,1493,1100
239.7,90,0-180,1493,1493
36,90,0-180,1493,1100
273.5,90,0-180,1493,1493
10.7,90,0-180,1493,1100
310.1,90,0-180,1493,1493
273.6,90,0-180,1493,1493
32.1,90,0-180,1493,1100
217.4,90,0-180,1493,1493
49.2,90,0-180,1493,1100
295.4,90,0-180,1493,1493
308.6,90,0-180,1493,1493
26.9,90,0-180,1493,1100
240.8,90,0-180,1493,1493
72.2,90,0-180,1493,1100
250.7,90,0-180,1493,1493
353.8,90,0-180,1493,1493
338.3,90,0-180,1493,1493
317.6,90,0-180,1493,1493
333.4,90,0-180,1493,1493
236.3,90,0-180,1493,1493
132.7,90,0-180,1493,1100
65.6,90,0-180,1493,1100
276.2,90,0-180,1493,1493
9.4,90,0-180,1493,1100
339.7,90,0-180,1493,1493
296.6,90,0-180,1493,1493
54.4,90,0-180,1493,1100
214.8,90,0-180,1493,1493
273.8,0,0-0,1493,1493
71.5,0,0-0,1493,1493
231.5,0,0-0,1493,1493
50.7,0,0-0,1493,1493
202.8,0,0-0,1493,1493
6.2,0,0-0,1493,1493
206.3,0,0-0,1493,1493
353.7,0,0-0,1493,1493
138.2,0,0-0,1493,1493
342.9,0,0-0,1493,1493
126.1,0,0-0,1493,1493
279.8,0,0-0,1493,1493
122.3,0,0-0,1493,1493
277.9,0,0-0,1493,1493
63.4,0,0-0,1493,1493
270.6,0,0-0,1493,1493
50.3,0,0-0,1493,1493
252.1,0,0-0,1493,1493
31.3,0,0-0,1492,1492
183.2,0,0-0,1492,1492
151.8,0,0-0,1371,1371
197,0,0-0,1209,1209
353.5,0,0-0,1037,1037
249.9,0,0-0,1036,1036
120.4,0,0-0,1037,1037
302.5,0,0-0,1036,1036
24.2,0,0-0,1036,1036
340.9,0,0-0,1036,1036
123.3,0,0-0,1037,1000
48.4,0,0-0,1036,1000
77.1,0,0-0,1036,1000
215.2,0,0-0,1036,1000
104.1,0,0-0,1036,1000
89.4,0,0-0,1036,1000
173.1,0,0-0,1037,1000
357.5,0,0-0,1036,1000
274.8,0,0-0,1036,1000
265.2,0,0-0,1036,1000
265.3,0,0-0,1036,1000
265.1,0,0-0,1036,1000
265.1,0,0-0,1037,1000
265.2,0,0-0,1037,1000
265.3,0,0-0,1036,1000
265.2,0,0-0,1036,1000
265.2,0,0-0,1036,1000
265.2,0,0-0,1037,1000
265.2,0,0-0,1036,1000
265.2,0,0-0,1037,1000
265.2,0,0-0,1037,1000
