encoder,angle_input,Window,Throttle_input,Motor_output
36.7,0,0-0,1510,1510
166.8,0,0-0,1510,1510
258.5,0,0-0,1510,1510
347.6,0,0-0,1509,1509
111.5,0,0-0,1509,1509
199.5,0,0-0,1510,1510
285.1,0,0-0,1510,1510
62.1,0,0-0,1510,1510
147.4,0,0-0,1510,1510
233.5,0,0-0,1510,1510
358.2,0,0-0,1510,1510
88.5,0,0-0,1510,1510
160.6,0,0-0,1510,1510
302.3,0,0-0,1510,1510
25.6,0,0-0,1510,1510
115.8,0,0-0,1510,1510
246.7,0,0-0,1510,1510
332.6,0,0-0,1509,1509
95.9,0,0-0,1510,1510
171.5,0,0-0,1510,1510
251.3,0,0-0,1510,1510
338.2,0,0-0,1510,1510
42.5,0,0-0,1510,1510
120.7,0,0-0,1510,1510
243.4,0,0-0,1510,1510
320.4,0,0-0,1510,1510
54.3,0,0-0,1510,1510
179.6,0,0-0,1510,1510
255.9,0,0-0,1510,1510
343.5,0,0-0,1510,1510
102.6,90,0-180,1510,1100
55.8,90,0-180,1510,1100
321.8,90,0-180,1510,1510
127.5,90,0-180,1510,1100
80.9,89.9,360-180,1510,1100
203.1,90,0-180,1510,1510
36.7,90,0-180,1510,1100
297.6,90,0-180,1510,1510
188.1,90,0-180,1510,1510
310.3,90,0-180,1509,1509
48.5,90,0-180,1510,1100
109.9,90,0-180,1510,1100
323.3,90,0-180,1510,1510
62.3,90,0-180,1510,1100
113.3,90,0-180,1510,1100
324,90,0-180,1510,1510
77.8,90,0-180,1510,1100
113.7,90,0-180,1510,1100
347.9,90,0-180,1510,1510
126.9,90,0-180,1510,1100
119,90,0-180,1510,1100
232.7,90,0-180,1510,1510
15.2,90,0-180,1509,1100
262,90,0-180,1510,1510
176.8,90,0-180,1510,1100
57,90,0-180,1510,1100
16.9,90,0-180,1510,1100
240,90,0-180,1510,1510
34.2,90,0-180,1510,1100
323.6,90,0-180,1510,1510
290.7,90,0-180,1509,1509
47.5,90,0-180,1510,1100
234.9,90,0-180,1510,1510
124.1,90,0-180,1510,1100
102.4,90,0-180,1509,1100
242.7,90,0-180,1509,1509
62.2,90,0-180,1510,1100
274.1,90,0-180,1510,1510
125,90,0-180,1510,1100
177.4,90,0-180,1510,1100
200.6,90,0-180,1510,1510
104.7,90,0-180,1510,1100
288.8,90,0-180,1510,1510
72.4,90,0-180,1510,1100
153.8,90,0-180,1510,1100
334.5,90,0-180,1510,1510
89.6,90,0-180,1510,1100
177.1,90,0-180,1510,1100
175.1,90,0-180,1510,1100
48.1,90,0-180,1510,1100
27.9,90,0-180,1510,1100
252.2,90,0-180,1510,1510
88.1,90,0-180,1510,1100
309.8,90,0-180,1510,1510
104.9,90,0-180,1510,1100
196.4,90,0-180,1510,1510
221.3,90,0-180,1510,1510
91.6,90,0-180,1510,1100
319.7,90,0-180,1510,1510
98.3,90,0-180,1510,1100
244.8,90,0-180,1510,1510
191.6,90,0-180,1510,1510
123.9,90,0-180,1510,1100
242.5,90,0-180,1510,1510
105.8,90,0-180,1510,1100
297.5,90,0-180,1510,1510
126.2,90,0-180,1510,1100
145.3,0,0-0,1510,1510
276.9,0,0-0,1510,1510
355.2,0,0-0,1510,1510
133.2,0,0-0,1510,1510
285.6,270,180-0,1510,1100
116,270,180-0,1510,1510
342,270,180-0,1510,1100
33.4,270,180-0,1510,1510
57,270,180-0,1510,1510
247.6,270,180-0,1509,1100
122.2,270,180-0,1510,1510
67.9,270,180-0,1510,1510
267.5,270,180-0,1510,1100
153.3,270,180-0,1510,1510
70.6,270,180-0,1510,1510
264.9,270,180-0,1510,1100
142.6,270,180-0,1510,1510
146.4,270,180-0,1510,1510
247.9,270,180-0,1510,1100
47.3,270,180-0,1510,1510
159.3,270,180-0,1509,1509
271.6,270,180-0,1510,1100
69.1,270,180-0,1510,1510
184.1,270,180-0,1509,1100
307.2,270,180-0,1510,1100
80.6,270,180-0,1510,1510
20.2,270,180-0,1510,1510
337.9,270,180-0,1510,1100
87.9,270,180-0,1510,1510
305.2,270,180-0,1510,1100
125.2,270,180-0,1510,1510
320.1,270,180-0,1510,1100
6.2,270,180-0,1510,1510
179.6,270,180-0,1510,1510
302.4,270,180-0,1510,1100
10.5,270,180-0,1510,1510
210.2,270,180-0,1510,1100
316.6,270,180-0,1510,1100
32.3,270,180-0,1510,1510
75.3,270,180-0,1510,1510
302.7,270,180-0,1510,1100
150.1,270,180-0,1510,1510
313.9,270,180-0,1510,1100
97.9,270,180-0,1510,1510
47.3,270,180-0,1510,1510
352.5,270,180-0,1510,1100
127.4,270,180-0,1510,1510
323,270,180-0,1510,1100
135.1,270,180-0,1510,1510
16.6,270,180-0,1510,1510
59.3,270,180-0,1510,1510
90.3,270,180-0,1510,1510
353.9,270,180-0,1510,1100
165.8,270,180-0,1510,1510
318.8,270,180-0,1510,1100
131.2,270,180-0,1510,1510
39.8,270,180-0,1510,1510
4.8,270,180-0,1510,1510
168.6,270,180-0,1509,1509
304.5,270,180-0,1510,1100
84.3,270,180-0,1510,1510
232.6,270,180-0,1510,1100
354.6,270,180-0,1510,1100
47.5,270,180-0,1510,1510
116.4,270,180-0,1509,1509
231.1,0,0-0,1510,1510
321.9,0,0-0,1509,1509
84.2,0,0-0,1510,1510
195.2,0.4,270-90,1510,1510
357.3,0,270-90,1510,1100
271.5,0,270-90,1510,1100
231.9,0,270-90,1510,1510
34.6,0,270-90,1510,1100
279.8,0,270-90,1510,1100
108.5,0,270-90,1510,1510
137,0,270-90,1510,1510
201.9,0,270-90,1510,1510
73.1,0,270-90,1510,1100
261.1,0,270-90,1510,1510
94,0,270-90,1510,1510
218.2,0,270-90,1510,1510
173.1,0,270-90,1510,1510
122,0,270-90,1510,1510
240.5,0,270-90,1510,1510
61.2,0,270-90,1510,1100
265.6,0,270-90,1510,1510
88.3,0,270-90,1510,1100
147,0,270-90,1510,1510
354.1,0,270-90,1510,1100
144.6,0,270-90,1510,1510
127.6,0,270-90,1510,1510
261.8,0,270-90,1510,1510
72.2,0,270-90,1510,1100
311,0,270-90,1510,1100
119.9,0,270-90,1510,1510
168.9,0,270-90,1510,1510
248.7,0,270-90,1510,1510
119.1,0,270-90,1510,1510
298.4,0,270-90,1510,1100
111.4,0,270-90,1510,1510
150.8,0,270-90,1510,1510
99.3,0,270-90,1510,1510
278.3,0,270-90,1510,1100
90.9,0,270-90,1510,1510
295.2,0,270-90,1510,1100
157.1,0,270-90,1510,1510
185.5,0,270-90,1510,1510
221.5,0,270-90,1510,1510
52.9,0,270-90,1510,1100
301,0,270-90,1510,1100
264.1,0,270-90,1510,1510
66.7,0,270-90,1510,1100
251.6,0,270-90,1509,1509
220,0,270-90,1510,1510
84.1,0,270-90,1509,1100
287.9,0,270-90,1510,1100
116.3,0,270-90,1509,1509
246.9,0.1,270-90,1510,1510
164.7,0.6,271-91,1510,1510
140.2,0,270-90,1510,1510
262.7,0,270-90,1510,1510
77.9,0,270-90,1510,1100
311.5,0,270-90,1510,1100
133.2,0,270-90,1510,1510
157.1,0,270-90,1510,1510
223,0,270-90,1510,1510
80.5,0,270-90,1510,1100
14,0,270-90,1510,1100
291.2,0,270-90,1510,1100
26.7,0,0-0,1510,1510
117.4,0,0-0,1510,1510
248.6,0,0-0,1510,1510
338.8,0,0-0,1510,1510
63.7,180,90-270,1509,1509
260.1,180,90-270,1510,1100
117.2,178,88-268,1509,1100
69.4,178.3,88-268,1510,1510
230.4,178.4,88-268,1510,1100
67.9,176.9,87-267,1509,1509
24.2,176.6,87-267,1510,1510
288.3,178,88-268,1510,1510
125.7,180,90-270,1510,1100
292.1,180,90-270,1510,1510
93.2,180,90-270,1509,1100
21.4,180,90-270,1510,1510
358.3,180,90-270,1510,1510
122.1,180,90-270,1510,1100
299.4,180,90-270,1510,1510
179.6,180,90-270,1510,1100
10.7,180,90-270,1510,1510
321,180,90-270,1510,1510
126,180,90-270,1509,1100
309.6,180,90-270,1510,1510
146.1,180,90-270,1510,1100
13.8,180,90-270,1510,1510
325.1,180,90-270,1510,1510
86.7,180,90-270,1510,1510
296,180,90-270,1510,1510
117.3,180,90-270,1510,1100
308.8,180,90-270,1510,1510
9.6,180,90-270,1509,1509
239.8,180,90-270,1510,1100
22.7,180,90-270,1510,1510
319.2,180,90-270,1510,1510
201.7,180,90-270,1509,1100
341.3,180,90-270,1510,1510
315.7,180,90-270,1510,1510
228.8,180,90-270,1510,1100
48.6,180,90-270,1510,1510
325.5,180,90-270,1510,1510
149,180,90-270,1510,1100
283.8,180,90-270,1510,1510
19.9,180,90-270,1510,1510
83.1,180,90-270,1510,1510
251.9,180,90-270,1510,1100
168.4,180,90-270,1510,1100
139,180,90-270,1510,1100
339.3,180,90-270,1510,1510
168.4,180,90-270,1510,1100
2.3,180,90-270,1510,1510
336.5,180,90-270,1510,1510
247.2,180,90-270,1510,1100
49,180,90-270,1510,1510
302.8,180,90-270,1510,1510
226.1,180,90-270,1510,1100
67.4,180,90-270,1510,1510
319.7,180,90-270,1510,1510
142.1,180,90-270,1510,1100
312.8,180,90-270,1510,1510
105,180,90-270,1510,1100
37.4,180,90-270,1509,1509
302,180,90-270,1510,1510
207.9,180,90-270,1510,1100
358.8,180,90-270,1510,1510
21.4,180,90-270,1510,1510
114.4,180,90-270,1510,1100
327.3,180,90-270,1510,1510
164.7,180,90-270,1510,1100
5.4,180,90-270,1510,1510
344.3,0,0-0,1510,1510
86,0,0-0,1510,1510
198.2,0,0-0,1510,1510
303.1,0,0-0,1510,1510
26,0,0-0,1510,1510
155.7,0,0-0,1510,1510
283.9,0,0-0,1510,1000
236.1,0,0-0,1510,1000
65.7,0,0-0,1510,1000
59.2,0,0-0,1510,1000
271.5,0,0-0,1510,1000
268.6,0,0-0,1364,1000
77.8,0,0-0,1099,1000
93.7,0,0-0,1036,1000
248.9,0,0-0,1036,1000
188.3,0,0-0,1036,1000
323.2,0,0-0,1036,1000
214.7,0,0-0,1036,1000
258.9,0,0-0,1036,1000
93.4,0,0-0,1037,1000
54.1,0,0-0,1036,1000
143.4,0,0-0,1036,1000
19.8,0,0-0,1036,1000
6.9,0,0-0,1036,1000
114.7,0,0-0,1036,1000
351.5,0,0-0,1036,1000
333.1,0,0-0,1036,1000
58.3,0,0-0,1036,1000
264.7,0,0-0,1036,1000
199.1,0,0-0,,
